"id","code","name"
1,"010101","PUNCION CISTERNAL, VIA LATERAL"
2,"010102","PUNCION CISTERNAL, VIA MEDIAL"
3,"010103","PUNCION CISTERNAL"
4,"010201","PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO"
5,"010202","PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR POR TREPANACION (SIN CATETER)"
6,"010203","PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR A TRAVES DE UN RESERVORIO"
7,"010204","PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR, VIA TRANSFONTANELAR"
8,"010205","PUNCION (ASPIRACION DE LIQUIDO) VENTRICULAR"
9,"010901","PUNCION SUBDURAL"
10,"010902","OTRA PUNCION CRANEAL"
11,"011101","BIOPSIA OSEA EN CRANEO POR CRANEOTOMIA"
12,"011102","BIOPSIA OSEA EN CRANEO POR CRANIECTOMIA"
13,"011103","BIOPSIA DE CRANEO"
14,"011201","BIOPSIA DE MENINGE, POR CRANEOTOMIA"
15,"011202","BIOPSIA DE MENINGE CEREBRAL"
16,"011301","BIOPSIA CERRADA (PERCUTANEA) (AGUJA) DE CEREBRO"
17,"011302","BIOPSIA ABIERTA (CRANEOTOMIA) DE CEREBRO"
18,"011303","BIOPSIA DE CEREBRO POR TREPANACION"
19,"011306","BIOPSIA DE CEREBRO SUPERFICIAL POR ESTEREOTAXIA"
20,"030208","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINECTOMIA VIA ABIERTA"
21,"030209","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINECTOMIA VIA PERCUTANEA"
22,"030210","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINECTOMIA VIA ENDOSCOPICA"
23,"030211","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINECTOMIA VIA ABIERTA"
24,"030212","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINECTOMIA VIA PERCUTANEA"
25,"011307","BIOPSIA DE CEREBRO PROFUNDA POR ESTEREOTAXIA"
26,"012101","CRANEALIZACION DE SENO FRONTAL"
27,"012102","INCISION Y DRENAJE DE SENO FRONTAL"
28,"012103","DESFUNCIONALIZACION DE SENO FRONTAL"
29,"012201","RETIRO O SUSTITUCION DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO"
30,"012202","RETIRO O SUSTITUCION DE ELECTRODO EPIDURAL"
31,"030213","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINECTOMIA VIA ENDOSCOPICA"
32,"030214","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR HEMILAMINECTOMIA VIA ABIERTA"
33,"030215","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR HEMILAMINECTOMIA VIA PERCUTANEA"
34,"030216","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR HEMILAMINECTOMIA VIA ENDOSCOPICA"
35,"030217","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR HEMILAMINECTOMIA VIA ABIERTA"
36,"030218","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR HEMILAMINECTOMIA VIA PERCUTANEA"
37,"030219","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR HEMILAMINECTOMIA VIA ENDOSCOPICA"
38,"030220","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINOTOMIA VIA ABIERTA"
39,"030221","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINOTOMIA VIA PERCUTANEA"
40,"030222","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINOTOMIA VIA ENDOSCOPICA"
41,"012203","RETIRO O SUSTITUCION DE ELECTRODO SUBDURAL"
42,"012204","RETIRO O SUSTITUCION DE ELECTRODO A NERVIO CRANEAL O PERIFERICO"
43,"012205","RETIRO O SUSTITUCION DE NEUROESTIMULADOR INTRACRANEAL"
44,"012206","REVISION DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO"
45,"012207","REVISION DE ELECTRODO EPIDURAL"
46,"012208","REVISION DE ELECTRODO SUBDURAL"
47,"012209","REVISION DE ELECTRODO A NERVIO CRANEAL O PERIFERICO"
48,"012210","REVISION DE NEUROESTIMULADOR"
49,"012300","REAPERTURA DE CRANEOTOMIA SOD"
50,"012401","DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA"
51,"012402","DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA"
52,"012403","CRANEOTOMIA (DESCOMPRESIVA O EXPLORATORIA)"
53,"030223","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINOTOMIA VIA ABIERTA"
54,"030224","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINOTOMIA VIA PERCUTANEA"
55,"030225","EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINOTOMIA VIA ENDOSCOPICA"
56,"030226","EXPLORACION Y DESCOMPRESION HASTA DOS SEGMENTOS POR FORAMINOTOMIA VIA ABIERTA"
57,"030227","EXPLORACION Y DESCOMPRESION HASTA DOS SEGMENTOS POR FORAMINOTOMIA VIA PERCUTANEA"
58,"030228","EXPLORACION Y DESCOMPRESION HASTA DOS SEGMENTOS POR FORAMINOTOMIA VIA ENDOSCOPICA"
59,"030229","EXPLORACION Y DESCOMPRESION MAS DE DOS SEGMENTOS POR FORAMINOTOMIA VIA ABIERTA"
60,"030230","EXPLORACION Y DESCOMPRESION MAS DE DOS SEGMENTOS POR FORAMINOTOMIA VIA PERCUTANEA"
61,"030231","EXPLORACION Y DESCOMPRESION MAS DE DOS SEGMENTOS POR FORAMINOTOMIA VIA ENDOSCOPICA"
62,"030301","EXPLORACION Y DESCOMPRESION DE RAIZ DEL NERVIO ESPINAL"
63,"030302","ESCISION DE QUISTE SINOVIAL FACETARIO VIA POSTERIOR"
64,"030404","DRENAJE DE COLECCION EPIDURAL CERVICAL"
65,"030405","DRENAJE DE COLECCION EPIDURAL TORACICA"
66,"030406","DRENAJE DE COLECCION EPIDURAL LUMBOSACRA"
67,"030407","DRENAJE DE COLECCION SUBDURAL CERVICAL"
68,"030408","DRENAJE DE COLECCION SUBDURAL TORACICA"
69,"030409","DRENAJE DE COLECCION SUBDURAL LUMBOSACRA"
70,"031101","RIZOTOMIA DE RAIZ NERVIO ESPINAL VIA ABIERTA"
71,"031102","RIZOTOMIA DE RAIZ NERVIO ESPINAL VIA PERCUTANEA"
72,"031103","RIZOTOMIA DE RAIZ NERVIO ESPINAL VIA ENDOSCOPICA"
73,"031104","RIZOLISIS FACETARIA (NEUROTOMIA DE RAMA MEDIAL) VIA PERCUTANEA"
74,"031105","RIZOLISIS FACETARIA (NEUROTOMIA DE RAMA MEDIAL) VIA ENDOSCOPICA"
75,"032001","CORDOTOMIA VIA ABIERTA"
76,"032002","CORDOTOMIA VIA PERCUTANEA"
77,"032003","CORDOTOMIA VIA ENDOSCOPICA"
78,"032303","TRACTOTOMIA DE MEDULA ESPINAL (ANTERIOR, LATERAL O POSTERIOR)"
79,"032304","LESION DE TRACTOS DE ENTRADA DE RAICES POSTERIORES DREZ"
80,"032401","MIELOTOMIA POR ABLACION VIA ABIERTA"
81,"033101","PUNCION LUMBAR (DIAGNOSTICA O TERAPEUTICA)"
82,"033102","DRENAJE LUMBAR TRANSITORIO"
83,"033103","MANOMETRIA DE LIQUIDO CEFALORRAQUIDEO"
84,"033201","BIOPSIA DE TUMOR INTRADURALES (INTRAMEDULARES Y EXTRAMEDULARES) CERVICALES, DORSALES, LUMBOSACROS O COCCIGEOS"
85,"033202","BIOPSIA ABIERTA DE TUMOR DEL FORAMEN MAGNO, VIA LATERAL"
86,"033203","BIOPSIA DE MEDULA ESPINAL O MENINGES ESPINALES"
87,"034101","RESECCION DE TUMOR DEL FORAMEN MAGNO, POR CRANEOTOMIA DE FOSA POSTERIOR Y ESCISION DE ARCO POSTERIOR DE ATLAS VIA POSTERIOR"
88,"012410","EXTRACCION DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMIA"
89,"012501","SECUESTRECTOMIA DE CRANEO, POR CRANIECTOMIA"
90,"012502","DRENAJE DE COLECCION EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA"
91,"012503","DRENAJE DE COLECCION EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA"
92,"012505","CRANIECTOMIA DESCOMPRESIVA BIFRONTAL"
93,"012506","CRANIECTOMIA DESCOMPRESIVA HEMISFERICA"
94,"034102","RESECCION DE TUMOR DEL FORAMEN MAGNO, VIA TRANSCONDILEA"
95,"034103","RESECCION DE TUMOR DEL FORAMEN MAGNO, VIA TRANSORAL"
96,"034208","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL C1 C2 VIA ABIERTA"
97,"034209","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL C1 C2 VIA PERCUTANEA"
98,"034210","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL C1 C2 VIA ENDOSCOPICA"
99,"034211","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VIA ABIERTA"
100,"034212","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VIA PERCUTANEA"
101,"034213","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
102,"034214","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS VIA ABIERTA"
103,"034215","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS VIA PERCUTANEA"
104,"034216","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
105,"034217","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO HASTA DOS SEGMENTOS VIA ABIERTA"
106,"034218","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO HASTA DOS SEGMENTOS VIA PERCUTANEA"
107,"034219","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
108,"034220","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO MAS DE DOS SEGMENTOS VIA ABIERTA"
109,"034221","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO MAS DE DOS SEGMENTOS VIA PERCUTANEA"
110,"034222","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
111,"034223","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL LUMBAR HASTA DOS SEGMENTOS VIA ABIERTA"
112,"034224","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL LUMBAR HASTA DOS SEGMENTOS VIA PERCUTANEA"
113,"034225","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL LUMBAR HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
114,"034226","RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL LUMBAR MAS DE DOS SEGMENTOS VIA ABIERTA"
115,"012507","CRANIECTOMIA DESCOMPRESIVA EN FOSA POSTERIOR"
116,"013101","DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA"
117,"013102","DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION"
118,"013103","DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMIA"
119,"013104","DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO"
120,"013105","DRENAJE DE ESPACIO SUBARACNOIDEO, POR DERIVACION CISTO PERITONEAL"
